,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist
75,0.578,0.29,5,-12.501,0,0.0341,0.652,0.0,0.105,0.666,117.403,audio_features,5By7Pzgl6TMuVJG168VWzS,spotify:track:5By7Pzgl6TMuVJG168VWzS,https://api.spotify.com/v1/tracks/5By7Pzgl6TMuVJG168VWzS,https://api.spotify.com/v1/audio-analysis/5By7Pzgl6TMuVJG168VWzS,162373,4,michelle ,the beatles
76,0.67,0.776,4,-10.035,1,0.0749,0.0168,3.01e-06,0.0732,0.765,96.93,audio_features,19QXdPRZFHI5kNK3tN8Mh7,spotify:track:19QXdPRZFHI5kNK3tN8Mh7,https://api.spotify.com/v1/tracks/19QXdPRZFHI5kNK3tN8Mh7,https://api.spotify.com/v1/audio-analysis/19QXdPRZFHI5kNK3tN8Mh7,168573,4,what goes on ,the beatles
77,0.699,0.294,5,-13.205,0,0.0294,0.587,0.0,0.117,0.893,96.615,audio_features,6tQvjqDIK9GXWIC6mejms8,spotify:track:6tQvjqDIK9GXWIC6mejms8,https://api.spotify.com/v1/tracks/6tQvjqDIK9GXWIC6mejms8,https://api.spotify.com/v1/audio-analysis/6tQvjqDIK9GXWIC6mejms8,151720,4,girl ,the beatles
78,0.667,0.498,1,-11.027,1,0.0364,0.00772,0.0,0.0481,0.774,85.843,audio_features,5E3BVY66TEDexFutOO5GeS,spotify:track:5E3BVY66TEDexFutOO5GeS,https://api.spotify.com/v1/tracks/5E3BVY66TEDexFutOO5GeS,https://api.spotify.com/v1/audio-analysis/5E3BVY66TEDexFutOO5GeS,146387,4,i'm looking through you ,the beatles
79,0.688,0.435,9,-11.359,1,0.0323,0.449,0.0,0.113,0.435,103.239,audio_features,3KfbEIOC7YIv90FIfNSZpo,spotify:track:3KfbEIOC7YIv90FIfNSZpo,https://api.spotify.com/v1/tracks/3KfbEIOC7YIv90FIfNSZpo,https://api.spotify.com/v1/audio-analysis/3KfbEIOC7YIv90FIfNSZpo,146333,4,in my life ,the beatles
80,0.552,0.487,6,-10.574,0,0.04,0.0175,0.0,0.105,0.657,127.201,audio_features,0CGbof9amBnsNlRhZ8IY2H,spotify:track:0CGbof9amBnsNlRhZ8IY2H,https://api.spotify.com/v1/tracks/0CGbof9amBnsNlRhZ8IY2H,https://api.spotify.com/v1/audio-analysis/0CGbof9amBnsNlRhZ8IY2H,134720,4,wait ,the beatles
81,0.492,0.755,9,-9.273,1,0.0331,0.00748,0.0,0.102,0.796,127.387,audio_features,7C6hdDIz90Uf5YmdZnYbJJ,spotify:track:7C6hdDIz90Uf5YmdZnYbJJ,https://api.spotify.com/v1/tracks/7C6hdDIz90Uf5YmdZnYbJJ,https://api.spotify.com/v1/audio-analysis/7C6hdDIz90Uf5YmdZnYbJJ,142267,4,if i needed someone ,the beatles
82,0.563,0.705,2,-9.232,1,0.103,0.0103,0.0,0.0552,0.822,176.732,audio_features,4gUYV3ktbaOeAK5KrXMWV5,spotify:track:4gUYV3ktbaOeAK5KrXMWV5,https://api.spotify.com/v1/tracks/4gUYV3ktbaOeAK5KrXMWV5,https://api.spotify.com/v1/audio-analysis/4gUYV3ktbaOeAK5KrXMWV5,141093,4,run for your life ,the beatles
83,0.469,0.596,7,-8.348,1,0.0749,0.0101,0.0,0.321,0.783,133.586,audio_features,4BRkPBUxOYffM2QXVlq7aC,spotify:track:4BRkPBUxOYffM2QXVlq7aC,https://api.spotify.com/v1/tracks/4BRkPBUxOYffM2QXVlq7aC,https://api.spotify.com/v1/audio-analysis/4BRkPBUxOYffM2QXVlq7aC,158853,4,taxman ,the beatles
84,0.581,0.28,4,-9.091,0,0.0381,0.936,1.56e-05,0.305,0.813,137.831,audio_features,5GjPQ0eI7AgmOnADn1EO6Q,spotify:track:5GjPQ0eI7AgmOnADn1EO6Q,https://api.spotify.com/v1/tracks/5GjPQ0eI7AgmOnADn1EO6Q,https://api.spotify.com/v1/audio-analysis/5GjPQ0eI7AgmOnADn1EO6Q,126533,4,eleanor rigby ,the beatles
